TransactionID,Date,CustomerID,ItemsPurchased,TotalAmount,StoreLocation,PaymentMethod,PurchaseCategory,DiscountApplied,TimeOfDay
94,2024-08-31,C8684,"Cheese, Vegetables, Rice, Milk, Butter",85.06,Downtown,Cash,Clothing,False,Afternoon
95,2024-05-03,C3437,"Chicken, Milk, Vegetables",32.91,Rural,Credit Card,Household,False,Evening
96,2024-08-19,C7352,"Butter, Bread, Eggs",171.74,Downtown,Mobile Payment,Household,True,Afternoon
97,2024-11-17,C6700,"Bread, Pasta, Rice, Chicken",102.39,Downtown,Cash,Groceries,False,Night
98,2024-07-29,C8933,Eggs,87.5,Mall,Mobile Payment,Clothing,False,Evening
99,2024-11-19,C3514,"Pasta, Bread",147.13,Mall,Credit Card,Household,True,Evening
100,2024-05-14,C7064,"Bread, Eggs, Butter, Chicken",178.67,Downtown,Mobile Payment,Books,True,Morning
101,2024-03-24,C2461,Pasta,25.92,Suburbs,Debit Card,Household,False,Evening
102,2024-10-26,C9975,"Butter, Chicken",28.94,Suburbs,Credit Card,Electronics,True,Afternoon
103,2024-01-31,C2914,"Fruits, Chicken, Rice, Milk, Pasta",24.75,Mall,Debit Card,Electronics,False,Morning
104,2024-05-24,C8816,"Vegetables, Pasta, Eggs, Butter, Fruits",37.77,Downtown,Credit Card,Groceries,True,Evening
105,2024-01-24,C7890,Butter,68.51,Downtown,Credit Card,Books,False,Afternoon
106,2024-10-26,C2314,"Fruits, Milk, Rice, Eggs, Butter",170.89,Suburbs,Cash,Household,False,Afternoon
107,2024-06-19,C9923,"Butter, Bread",103.72,Rural,Cash,Clothing,True,Morning
108,2024-04-18,C5773,Pasta,133.46,Downtown,Credit Card,Household,False,Afternoon
109,2024-09-20,C2012,"Butter, Vegetables, Cheese, Rice, Milk",103.0,Suburbs,Debit Card,Electronics,True,Morning
110,2024-03-27,C5786,Pasta,30.6,Suburbs,Credit Card,Books,True,Night
111,2024-05-02,C9969,"Chicken, Milk, Fruits",86.29,Mall,Credit Card,Groceries,False,Afternoon
112,2024-03-30,C4746,"Chicken, Fruits, Butter",141.54,Rural,Credit Card,Electronics,True,Morning
113,2024-07-27,C6800,"Rice, Chicken, Butter, Fruits, Bread",176.77,Rural,Debit Card,Groceries,True,Afternoon
114,2024-10-13,C6736,"Fruits, Rice, Butter, Eggs, Cheese",145.28,Mall,Credit Card,Electronics,True,Afternoon
115,2024-07-03,C3066,"Butter, Rice, Chicken, Cheese, Fruits",172.66,Downtown,Debit Card,Groceries,True,Evening
116,2024-06-01,C2240,"Butter, Eggs, Milk, Rice, Vegetables",124.71,Mall,Debit Card,Books,True,Night
117,2024-06-10,C4664,"Rice, Milk, Bread, Pasta, Chicken",164.06,Rural,Mobile Payment,Groceries,True,Night
118,2024-01-15,C8551,"Vegetables, Fruits, Chicken",28.98,Rural,Cash,Groceries,False,Morning
119,2024-01-02,C1535,"Chicken, Cheese, Pasta, Eggs",52.59,Suburbs,Credit Card,Groceries,False,Morning
120,2024-03-26,C5347,"Bread, Rice",133.01,Suburbs,Debit Card,Household,False,Afternoon
121,2024-06-02,C3875,"Rice, Cheese, Chicken, Bread",64.58,Rural,Debit Card,Groceries,False,Afternoon
122,2024-07-29,C8311,"Fruits, Rice, Butter, Pasta",166.56,Downtown,Debit Card,Clothing,True,Morning
123,2024-01-14,C6784,"Cheese, Milk, Chicken, Pasta, Eggs",26.97,Suburbs,Credit Card,Groceries,True,Morning
124,2024-01-26,C4266,Butter,193.35,Mall,Debit Card,Electronics,True,Afternoon
125,2024-04-13,C9530,"Rice, Vegetables, Bread, Fruits",153.75,Suburbs,Debit Card,Groceries,True,Evening
126,2024-09-29,C2596,Butter,173.69,Mall,Mobile Payment,Household,False,Afternoon
127,2024-04-21,C6394,Rice,13.87,Downtown,Credit Card,Household,False,Evening
128,2024-05-09,C3583,"Chicken, Butter",38.34,Downtown,Debit Card,Electronics,False,Night
129,2024-08-04,C1472,"Rice, Pasta, Eggs, Chicken",63.07,Suburbs,Debit Card,Electronics,False,Evening
130,2024-03-01,C3614,"Milk, Pasta",56.44,Rural,Cash,Groceries,True,Evening
131,2024-08-14,C5660,Rice,67.91,Rural,Mobile Payment,Electronics,True,Evening
132,2024-11-21,C5426,Fruits,125.31,Suburbs,Cash,Household,True,Night
133,2024-04-19,C6553,"Bread, Butter, Cheese, Rice",183.19,Rural,Cash,Electronics,True,Morning
134,2024-04-18,C5568,Eggs,25.73,Rural,Mobile Payment,Clothing,False,Evening
135,2024-02-16,C3499,"Milk, Cheese",100.9,Rural,Credit Card,Household,True,Afternoon
136,2024-10-25,C4773,"Rice, Chicken",36.08,Downtown,Cash,Household,True,Morning
137,2024-01-25,C2058,Cheese,34.07,Rural,Cash,Electronics,True,Evening
138,2024-11-03,C4508,"Milk, Eggs, Vegetables, Fruits",132.24,Suburbs,Cash,Groceries,True,Morning
139,2024-09-24,C2678,"Milk, Vegetables, Eggs",23.61,Suburbs,Debit Card,Groceries,False,Afternoon
140,2024-05-01,C1610,"Milk, Eggs, Pasta, Vegetables, Chicken",119.36,Rural,Cash,Electronics,True,Night
141,2024-07-13,C4291,Rice,162.85,Suburbs,Credit Card,Electronics,True,Evening
142,2024-10-04,C7329,"Eggs, Vegetables, Cheese, Chicken",33.36,Suburbs,Mobile Payment,Clothing,True,Night
143,2024-03-13,C9524,"Vegetables, Fruits, Chicken",33.6,Suburbs,Mobile Payment,Books,True,Evening
144,2024-10-02,C7284,"Rice, Chicken, Butter, Cheese",53.71,Mall,Cash,Clothing,False,Evening
145,2024-05-19,C8436,"Bread, Chicken, Butter, Cheese",7.34,Rural,Mobile Payment,Clothing,True,Night
146,2024-02-24,C4302,"Chicken, Cheese",99.42,Suburbs,Mobile Payment,Groceries,False,Night
147,2024-05-20,C5932,"Eggs, Cheese, Vegetables",194.23,Downtown,Debit Card,Household,False,Morning
148,2024-02-28,C8221,"Vegetables, Bread, Chicken, Fruits, Rice",112.64,Downtown,Mobile Payment,Clothing,True,Night
149,2024-02-02,C1079,"Bread, Fruits",55.27,Rural,Credit Card,Clothing,False,Evening
150,2024-03-07,C4556,"Vegetables, Eggs, Fruits, Butter",111.01,Rural,Credit Card,Groceries,True,Evening
151,2024-07-25,C2661,Cheese,28.67,Downtown,Cash,Household,True,Evening
152,2024-03-10,C4039,"Butter, Milk, Chicken",152.79,Downtown,Mobile Payment,Household,False,Evening
153,2024-11-08,C8086,Bread,37.26,Downtown,Credit Card,Household,False,Night
154,2024-03-30,C6573,"Fruits, Bread, Vegetables",171.54,Mall,Debit Card,Books,True,Morning
155,2024-08-09,C7889,Milk,149.77,Rural,Credit Card,Electronics,False,Afternoon
156,2024-04-26,C4887,"Pasta, Eggs, Cheese, Rice",187.48,Rural,Cash,Household,False,Morning
157,2024-12-02,C3345,"Bread, Vegetables, Rice, Cheese",89.54,Mall,Credit Card,Electronics,True,Afternoon
158,2024-08-03,C9540,"Milk, Cheese, Eggs, Chicken, Pasta",180.2,Rural,Cash,Books,True,Afternoon
159,2024-09-07,C1470,"Milk, Pasta, Fruits, Chicken, Bread",20.82,Suburbs,Credit Card,Household,True,Night
160,2024-07-21,C3321,"Bread, Chicken, Vegetables",133.43,Mall,Cash,Household,True,Afternoon
161,2024-11-25,C4006,Rice,198.72,Downtown,Debit Card,Household,False,Night
162,2024-06-10,C7236,Bread,76.86,Downtown,Credit Card,Clothing,False,Night
163,2024-09-03,C9397,"Butter, Pasta, Chicken, Bread, Cheese",93.16,Suburbs,Cash,Books,False,Afternoon
164,2024-07-28,C1846,"Rice, Chicken",135.67,Mall,Mobile Payment,Electronics,True,Afternoon
165,2024-08-09,C8647,Eggs,165.45,Suburbs,Credit Card,Household,False,Night
166,2024-01-08,C2724,"Bread, Eggs, Vegetables, Rice, Milk",143.78,Mall,Mobile Payment,Electronics,False,Afternoon
167,2024-05-16,C2204,Cheese,87.72,Suburbs,Credit Card,Books,True,Afternoon
168,2024-09-04,C8258,Bread,141.15,Suburbs,Debit Card,Clothing,False,Morning
169,2024-08-12,C1062,"Cheese, Pasta, Eggs, Vegetables",153.71,Suburbs,Mobile Payment,Clothing,True,Night
170,2024-08-14,C9254,"Bread, Vegetables, Pasta, Cheese, Butter",123.87,Suburbs,Cash,Clothing,False,Morning
171,2024-06-09,C2790,"Bread, Pasta",54.34,Mall,Debit Card,Books,True,Evening
172,2024-10-26,C7392,"Eggs, Pasta, Vegetables, Milk, Cheese",12.4,Suburbs,Mobile Payment,Clothing,False,Night
173,2024-09-03,C3707,"Bread, Cheese, Eggs, Rice, Butter",135.08,Suburbs,Credit Card,Groceries,False,Evening
174,2024-05-28,C9605,"Vegetables, Pasta, Chicken, Rice, Fruits",74.14,Rural,Cash,Electronics,True,Afternoon
175,2024-11-28,C3957,"Eggs, Butter",110.84,Rural,Mobile Payment,Household,False,Night
176,2024-01-06,C7104,"Butter, Eggs, Chicken",109.87,Suburbs,Cash,Household,False,Afternoon
177,2024-05-27,C4753,"Fruits, Bread, Chicken",137.37,Downtown,Mobile Payment,Clothing,False,Morning
178,2024-05-17,C4116,"Rice, Pasta, Milk, Vegetables, Butter",19.91,Suburbs,Debit Card,Electronics,True,Evening
179,2024-01-03,C5717,Milk,147.62,Mall,Cash,Electronics,False,Afternoon
180,2024-10-12,C2031,"Vegetables, Cheese",102.48,Rural,Cash,Clothing,False,Morning
181,2024-10-15,C5452,"Cheese, Eggs, Butter",71.68,Rural,Cash,Books,False,Night
182,2024-12-01,C9028,Bread,136.19,Rural,Credit Card,Household,False,Afternoon
183,2024-04-10,C2645,"Cheese, Fruits, Butter",186.85,Suburbs,Mobile Payment,Household,False,Afternoon
184,2024-06-21,C7823,"Eggs, Butter, Bread, Rice",70.87,Rural,Cash,Clothing,True,Evening
185,2024-09-04,C8883,"Fruits, Chicken",37.93,Rural,Credit Card,Electronics,False,Evening
186,2024-01-02,C6098,"Pasta, Cheese, Eggs, Rice, Butter",59.87,Downtown,Mobile Payment,Clothing,True,Morning
187,2024-02-27,C2110,Eggs,12.4,Downtown,Credit Card,Groceries,True,Afternoon
188,2024-03-20,C5569,"Cheese, Eggs, Pasta, Chicken",151.4,Rural,Cash,Clothing,True,Afternoon
189,2024-11-07,C7501,Butter,37.01,Mall,Mobile Payment,Groceries,False,Afternoon
190,2024-08-02,C9139,Milk,181.9,Suburbs,Credit Card,Electronics,False,Evening
191,2024-03-08,C4046,"Eggs, Butter, Vegetables",112.44,Mall,Debit Card,Household,False,Afternoon
192,2024-04-26,C6555,"Butter, Cheese",194.09,Suburbs,Debit Card,Household,True,Night
193,2024-11-04,C1381,"Bread, Vegetables, Chicken, Milk",195.92,Suburbs,Mobile Payment,Household,True,Night
194,2024-03-18,C3366,"Vegetables, Fruits, Eggs",54.79,Downtown,Debit Card,Books,True,Evening
195,2024-09-22,C1826,"Vegetables, Milk",124.54,Downtown,Credit Card,Clothing,False,Afternoon
196,2024-01-14,C2216,"Milk, Pasta",131.68,Suburbs,Debit Card,Books,True,Night
197,2024-08-19,C4085,"Fruits, Pasta",136.41,Suburbs,Cash,Household,True,Night
198,2024-10-04,C6653,"Fruits, Chicken",89.86,Suburbs,Cash,Clothing,True,Morning
199,2024-11-21,C3672,"Milk, Pasta",42.13,Rural,Credit Card,Groceries,False,Night
200,2024-06-22,C1466,"Cheese, Rice, Pasta",32.65,Downtown,Credit Card,Household,False,Night
201,2024-11-08,C5772,"Rice, Pasta",61.02,Mall,Cash,Electronics,False,Evening
202,2024-10-18,C3366,"Pasta, Chicken, Bread",160.73,Mall,Cash,Books,False,Morning
203,2024-09-03,C6611,"Eggs, Vegetables",73.61,Rural,Cash,Clothing,False,Night
204,2024-06-17,C3212,"Pasta, Butter, Milk, Eggs",81.52,Downtown,Mobile Payment,Groceries,False,Morning
205,2024-06-03,C1517,"Rice, Fruits, Chicken, Butter",171.33,Suburbs,Credit Card,Clothing,False,Evening
206,2024-06-14,C7840,"Vegetables, Pasta, Butter, Chicken",126.72,Downtown,Cash,Household,False,Afternoon
207,2024-10-12,C6020,Vegetables,66.66,Mall,Mobile Payment,Household,True,Evening
208,2024-07-15,C1816,"Cheese, Chicken, Butter",191.13,Downtown,Credit Card,Clothing,True,Evening
209,2024-09-19,C1176,"Rice, Milk, Bread, Vegetables",31.76,Downtown,Debit Card,Electronics,False,Evening
210,2024-06-13,C7910,"Rice, Bread, Vegetables, Cheese, Butter",68.04,Suburbs,Credit Card,Groceries,False,Morning
211,2024-05-03,C4194,"Milk, Eggs, Cheese, Pasta, Rice",82.41,Downtown,Mobile Payment,Groceries,False,Night
212,2024-05-13,C6687,Butter,146.96,Mall,Credit Card,Household,False,Afternoon
213,2024-01-09,C9383,"Butter, Rice, Milk, Chicken, Eggs",11.99,Downtown,Mobile Payment,Books,False,Afternoon
214,2024-04-01,C6608,"Bread, Cheese, Pasta",84.63,Suburbs,Debit Card,Household,False,Evening
215,2024-09-27,C1240,"Eggs, Pasta, Chicken, Fruits",13.3,Downtown,Cash,Electronics,False,Afternoon
216,2024-12-03,C8395,"Rice, Eggs",149.63,Downtown,Mobile Payment,Groceries,False,Evening
217,2024-07-27,C6155,"Milk, Eggs, Bread, Rice, Vegetables",184.14,Rural,Mobile Payment,Electronics,False,Night
218,2024-10-18,C5136,"Eggs, Rice",107.16,Rural,Mobile Payment,Electronics,True,Afternoon
219,2024-11-16,C1121,"Fruits, Eggs",8.89,Downtown,Cash,Household,True,Morning
220,2024-05-06,C8204,"Rice, Eggs, Vegetables, Milk",155.43,Suburbs,Credit Card,Clothing,False,Night
221,2024-02-23,C4158,"Fruits, Milk",79.25,Suburbs,Credit Card,Groceries,True,Night
222,2024-08-04,C6937,"Milk, Bread",185.44,Rural,Credit Card,Books,True,Evening
223,2024-04-25,C9848,"Rice, Milk, Eggs",17.86,Downtown,Cash,Electronics,True,Night
224,2024-08-22,C5556,"Vegetables, Pasta, Cheese, Bread",151.84,Rural,Mobile Payment,Household,True,Night
225,2024-10-13,C6004,"Cheese, Butter, Fruits",165.8,Suburbs,Cash,Books,False,Afternoon
226,2024-11-10,C6867,"Butter, Fruits",29.16,Downtown,Mobile Payment,Groceries,False,Evening
227,2024-10-18,C4700,"Cheese, Eggs, Fruits, Butter",46.89,Mall,Credit Card,Household,False,Night
228,2024-01-03,C9077,"Fruits, Eggs, Chicken",182.77,Mall,Cash,Electronics,False,Morning
229,2024-10-11,C4481,Pasta,82.16,Downtown,Cash,Household,False,Afternoon
230,2024-05-03,C3213,"Rice, Pasta, Fruits",82.49,Rural,Credit Card,Books,True,Evening
231,2024-04-21,C6756,"Butter, Pasta",109.56,Suburbs,Credit Card,Electronics,True,Evening
232,2024-07-22,C5973,Milk,130.62,Rural,Debit Card,Groceries,True,Morning
233,2024-04-08,C3780,"Milk, Vegetables, Butter",182.13,Mall,Mobile Payment,Clothing,False,Evening
234,2024-04-09,C7074,"Vegetables, Cheese",195.95,Suburbs,Mobile Payment,Books,True,Night
235,2024-09-06,C2889,Cheese,199.31,Rural,Mobile Payment,Electronics,False,Afternoon
236,2024-02-14,C7332,"Rice, Pasta, Bread",65.72,Suburbs,Credit Card,Groceries,True,Afternoon
237,2024-10-04,C8670,"Cheese, Pasta",34.52,Downtown,Credit Card,Clothing,True,Afternoon
238,2024-11-14,C2531,"Eggs, Rice",22.03,Mall,Cash,Electronics,False,Evening
239,2024-10-22,C6535,"Cheese, Fruits, Eggs, Milk",170.46,Suburbs,Mobile Payment,Clothing,False,Evening
240,2024-01-18,C2572,"Bread, Fruits",49.62,Mall,Cash,Clothing,True,Evening
241,2024-03-31,C8918,Butter,13.84,Rural,Mobile Payment,Books,True,Evening
242,2024-06-01,C4531,"Cheese, Eggs, Fruits",198.13,Downtown,Cash,Clothing,False,Evening
243,2024-01-02,C3549,"Milk, Fruits, Rice, Pasta, Cheese",96.7,Rural,Debit Card,Electronics,False,Evening
244,2024-04-21,C2655,"Bread, Fruits",129.55,Mall,Debit Card,Household,True,Night
245,2024-01-13,C7665,"Butter, Bread, Fruits",11.91,Downtown,Debit Card,Books,True,Night
246,2024-04-19,C7616,"Cheese, Vegetables",52.84,Rural,Debit Card,Books,False,Night
247,2024-09-24,C9663,"Rice, Butter, Pasta",58.36,Downtown,Cash,Groceries,False,Night
248,2024-10-14,C5244,"Pasta, Vegetables, Rice, Cheese",98.41,Suburbs,Debit Card,Books,True,Night
249,2024-04-30,C3597,"Bread, Butter, Milk, Eggs",6.99,Mall,Debit Card,Clothing,True,Night
250,2024-07-26,C7916,"Eggs, Chicken",73.18,Downtown,Cash,Groceries,True,Morning
251,2024-06-18,C7197,"Butter, Bread, Cheese, Chicken, Vegetables",61.55,Mall,Credit Card,Clothing,True,Evening
252,2024-03-17,C8686,"Bread, Milk, Cheese, Fruits",28.97,Suburbs,Debit Card,Groceries,True,Evening
253,2024-05-05,C7833,"Milk, Fruits, Eggs",29.24,Rural,Credit Card,Clothing,False,Afternoon
254,2024-09-23,C1170,"Chicken, Eggs",88.54,Rural,Credit Card,Books,True,Night
255,2024-06-28,C4580,Vegetables,157.4,Suburbs,Mobile Payment,Books,True,Night
256,2024-05-17,C5735,"Pasta, Chicken, Butter",107.43,Mall,Debit Card,Clothing,False,Evening
257,2024-09-07,C6111,"Butter, Chicken, Rice, Vegetables",47.74,Mall,Cash,Household,True,Night
258,2024-08-12,C9637,"Milk, Pasta, Fruits, Chicken, Butter",177.79,Mall,Cash,Household,True,Night
259,2024-06-30,C6778,Rice,91.99,Rural,Mobile Payment,Electronics,False,Night
260,2024-04-10,C6714,"Butter, Cheese, Chicken, Vegetables",158.92,Rural,Cash,Clothing,True,Night
261,2024-05-13,C6915,"Cheese, Bread, Milk, Rice",129.5,Mall,Debit Card,Books,False,Evening
