Document ID,Clause ID,Clause Text,Clause Type,Risk Level,Sentiment Label,Sentiment Score
DOC046,CL0373,The payment shall be made within 30 days from the date of invoice.,Payment Terms,High,Neutral,-0.72
DOC021,CL0762,Either party may terminate this agreement by providing 60 days written notice.,Termination,High,Neutral,-0.2
DOC024,CL0851,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Aggressive,0.2
DOC005,CL0506,This agreement shall be governed by and construed in accordance with the laws of Spain.,Governing Law,Medium,Neutral,0.26
DOC014,CL0809,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Collaborative,0.09
DOC003,CL0692,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Neutral,0.18
DOC021,CL0801,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Collaborative,-0.47
DOC017,CL0826,The payment shall be made within 30 days from the date of invoice.,Payment Terms,High,Aggressive,0.89
DOC022,CL0120,This agreement shall be governed by and construed in accordance with the laws of France.,Governing Law,Low,Collaborative,-0.82
DOC039,CL0299,This agreement shall be governed by and construed in accordance with the laws of Spain.,Governing Law,Low,Collaborative,0.28
DOC022,CL0550,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Aggressive,-0.47
DOC050,CL0369,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,Low,Collaborative,-0.25
DOC010,CL0196,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Collaborative,-0.89
DOC024,CL0504,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Collaborative,-0.78
DOC029,CL0986,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Aggressive,-0.63
DOC022,CL0383,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Aggressive,0.58
DOC045,CL0596,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Collaborative,0.47
DOC001,CL0506,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Collaborative,0.79
DOC020,CL0679,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Neutral,-0.48
DOC013,CL0681,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Aggressive,-0.12
DOC044,CL0342,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Aggressive,-0.47
DOC025,CL0815,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Neutral,0.8
DOC049,CL0854,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Collaborative,-0.71
DOC040,CL0236,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Aggressive,0.64
DOC037,CL0097,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Neutral,-0.49
DOC026,CL0297,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,Low,Aggressive,0.66
DOC050,CL0863,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Neutral,0.36
DOC018,CL0601,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Aggressive,-0.16
DOC030,CL0193,This agreement shall be governed by and construed in accordance with the laws of USA.,Governing Law,Low,Collaborative,0.68
DOC007,CL0353,This agreement shall be governed by and construed in accordance with the laws of France.,Governing Law,High,Collaborative,0.41
DOC047,CL0826,This agreement shall be governed by and construed in accordance with the laws of Spain.,Governing Law,Medium,Neutral,0.21
DOC017,CL0190,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Collaborative,-0.2
DOC011,CL0513,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Neutral,0.76
DOC012,CL0334,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Collaborative,-0.76
DOC026,CL0848,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Collaborative,-0.77
DOC046,CL0545,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Collaborative,-0.78
DOC030,CL0273,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Neutral,0.17
DOC007,CL0346,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Neutral,0.45
DOC022,CL0468,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Collaborative,0.72
DOC004,CL0934,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Neutral,0.83
DOC037,CL0929,Either party may terminate this agreement by providing 60 days written notice.,Termination,High,Neutral,0.04
DOC027,CL0025,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Neutral,-0.42
DOC010,CL0906,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Aggressive,0.68
DOC023,CL0726,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Collaborative,-0.75
DOC019,CL0640,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Aggressive,-0.49
DOC035,CL0501,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Collaborative,-0.74
DOC042,CL0750,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Neutral,0.45
DOC021,CL0590,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Collaborative,-0.38
DOC025,CL0930,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Neutral,-0.38
DOC031,CL0565,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Neutral,0.6
DOC048,CL0315,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Aggressive,-0.86
DOC029,CL0341,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Aggressive,0.59
DOC008,CL0337,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Aggressive,-0.41
DOC043,CL0380,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Neutral,0.24
DOC002,CL0525,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Collaborative,-0.19
DOC004,CL0053,Either party may terminate this agreement by providing 60 days written notice.,Termination,High,Aggressive,0.37
DOC047,CL0893,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Collaborative,-0.21
DOC017,CL0978,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Neutral,-0.38
DOC016,CL0163,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Collaborative,0.21
DOC029,CL0883,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Neutral,-0.11
DOC020,CL0310,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Aggressive,0.65
DOC019,CL0899,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Collaborative,-0.84
DOC006,CL0376,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,High,Collaborative,0.78
DOC029,CL0180,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Neutral,0.1
DOC033,CL0976,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Neutral,-0.11
DOC008,CL0602,This agreement shall be governed by and construed in accordance with the laws of USA.,Governing Law,Medium,Collaborative,-0.18
DOC030,CL0136,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Aggressive,-0.52
DOC039,CL0454,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Aggressive,0.82
DOC006,CL0257,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Collaborative,0.03
DOC020,CL0900,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Neutral,-0.37
DOC045,CL0002,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Neutral,-0.86
DOC047,CL0641,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Collaborative,0.99
DOC048,CL0353,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Collaborative,0.23
DOC018,CL0252,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Collaborative,0.4
DOC019,CL0153,This agreement shall be governed by and construed in accordance with the laws of France.,Governing Law,High,Neutral,0.25
DOC022,CL0573,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Collaborative,0.94
DOC028,CL0600,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Neutral,-0.76
DOC044,CL0352,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Collaborative,-0.22
DOC043,CL0970,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Neutral,-0.47
DOC019,CL0593,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Aggressive,0.47
DOC040,CL0239,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Neutral,-0.06
DOC029,CL0294,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Aggressive,0.67
DOC025,CL0629,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,High,Neutral,0.53
DOC036,CL0510,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Neutral,0.18
DOC041,CL0607,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Collaborative,-0.96
DOC033,CL0972,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Collaborative,-0.9
DOC025,CL0408,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Neutral,-0.91
DOC005,CL0205,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Aggressive,0.79
DOC031,CL0462,This agreement shall be governed by and construed in accordance with the laws of Spain.,Governing Law,Medium,Collaborative,-0.73
DOC037,CL0758,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,High,Aggressive,0.66
DOC013,CL0773,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Neutral,0.32
DOC001,CL0534,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Aggressive,0.63
DOC006,CL0304,This agreement shall be governed by and construed in accordance with the laws of France.,Governing Law,Medium,Collaborative,-0.55
DOC019,CL0419,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Aggressive,0.21
DOC015,CL0670,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Aggressive,0.86
DOC015,CL0465,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Neutral,-0.86
DOC044,CL0662,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Aggressive,0.47
DOC030,CL0159,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Neutral,0.93
DOC016,CL0318,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,High,Collaborative,0.11
DOC022,CL0255,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Collaborative,0.68
DOC002,CL0851,This agreement shall be governed by and construed in accordance with the laws of Spain.,Governing Law,Medium,Aggressive,-0.81
DOC033,CL0779,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Neutral,-0.04
DOC024,CL0807,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Neutral,-0.03
DOC012,CL0240,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Aggressive,0.53
DOC035,CL0192,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Aggressive,0.8
DOC048,CL0884,The payment shall be made within 30 days from the date of invoice.,Payment Terms,High,Neutral,0.51
DOC038,CL0666,The payment shall be made within 30 days from the date of invoice.,Payment Terms,High,Collaborative,0.33
DOC004,CL0055,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Collaborative,-0.19
DOC038,CL0146,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Aggressive,-0.09
DOC042,CL0214,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Collaborative,0.36
DOC013,CL0938,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Aggressive,0.1
DOC018,CL0666,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Aggressive,0.37
DOC009,CL0252,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Aggressive,0.87
DOC019,CL0037,Either party may terminate this agreement by providing 60 days written notice.,Termination,High,Neutral,0.2
DOC026,CL0012,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Aggressive,0.56
DOC005,CL0291,Either party may terminate this agreement by providing 60 days written notice.,Termination,High,Neutral,-0.02
DOC009,CL0448,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Neutral,0.78
DOC049,CL0961,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Aggressive,0.11
DOC008,CL0661,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Collaborative,-0.19
DOC038,CL0371,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Neutral,0.09
DOC012,CL0868,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Neutral,-0.63
DOC020,CL0301,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Neutral,0.97
DOC046,CL0793,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Aggressive,-0.06
DOC013,CL0537,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Neutral,-0.2
DOC024,CL0755,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Collaborative,0.53
DOC019,CL0627,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Aggressive,0.28
DOC026,CL0476,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Collaborative,0.95
DOC008,CL0630,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,Low,Neutral,-0.79
DOC021,CL0085,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Aggressive,-0.53
DOC028,CL0312,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Aggressive,0.12
DOC043,CL0831,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Collaborative,-0.21
DOC024,CL0924,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Aggressive,0.17
DOC040,CL0454,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Neutral,0.75
DOC032,CL0318,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Neutral,0.96
DOC004,CL0181,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Aggressive,0.78
DOC026,CL0180,The payment shall be made within 30 days from the date of invoice.,Payment Terms,High,Neutral,0.75
DOC004,CL0630,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Collaborative,0.52
DOC021,CL0652,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Aggressive,0.88
DOC047,CL0866,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Collaborative,0.8
DOC008,CL0313,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Collaborative,0.84
DOC025,CL0569,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Collaborative,0.65
DOC034,CL0104,Either party may terminate this agreement by providing 60 days written notice.,Termination,High,Aggressive,-0.62
DOC012,CL0545,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Collaborative,-0.82
DOC012,CL0623,Either party may terminate this agreement by providing 60 days written notice.,Termination,High,Aggressive,-0.38
DOC040,CL0163,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Collaborative,0.56
DOC047,CL0631,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Neutral,0.34
DOC035,CL0848,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Neutral,0.05
